id,model_id,model_name,sample_id,status,latency_ms,error_code,field_accuracy,category_correct,expected,output
req_6e95420d36e74707,mdl_feaed14d2acb47dd,Qwen 2.5 · 兼容接口,SYN-0136,success,607.761,,0.875,True,"{""equipment_id"": ""EQ-403-4"", ""equipment"": ""包装机"", ""production_line"": ""8号产线"", ""reported_at"": ""2025-09-28"", ""fault_code"": null, ""category"": ""other"", ""symptom"": ""来料外包装破损需暂存复核"", ""action_taken"": null, ""downtime_minutes"": 0}","{""equipment_id"": ""EQ-403-4"", ""equipment"": ""包装机"", ""production_line"": ""8号产线"", ""reported_at"": ""2025-09-28"", ""fault_code"": null, ""category"": ""other"", ""symptom"": ""来料外包装破损需暂存复核"", ""action_taken"": null, ""downtime_minutes"": null}"
req_e7db766c62da4581,mdl_feaed14d2acb47dd,Qwen 2.5 · 兼容接口,SYN-0096,success,644.928,,1.0,False,"{""equipment_id"": ""EQ-303-4"", ""equipment"": ""包装机"", ""production_line"": ""8号产线"", ""reported_at"": ""2025-07-10"", ""fault_code"": null, ""category"": ""software"", ""symptom"": ""配方配置缺少必填参数"", ""action_taken"": ""补全配方参数并重新校验配置"", ""downtime_minutes"": 61}","{""equipment_id"": ""EQ-303-4"", ""equipment"": ""包装机"", ""production_line"": ""8号产线"", ""reported_at"": ""2025-07-10"", ""fault_code"": null, ""category"": ""other"", ""symptom"": ""配方配置缺少必填参数"", ""action_taken"": ""补全配方参数并重新校验配置"", ""downtime_minutes"": 61}"
req_de1186d91da445fe,mdl_feaed14d2acb47dd,Qwen 2.5 · 兼容接口,SYN-0056,success,627.624,,1.0,False,"{""equipment_id"": ""EQ-203-4"", ""equipment"": ""包装机"", ""production_line"": null, ""reported_at"": ""2025-04-21"", ""fault_code"": null, ""category"": ""electrical"", ""symptom"": ""电源电压波动导致设备重启"", ""action_taken"": ""检修电源模块并记录输出电压"", ""downtime_minutes"": 58}","{""equipment_id"": ""EQ-203-4"", ""equipment"": ""包装机"", ""production_line"": null, ""reported_at"": ""2025-04-21"", ""fault_code"": null, ""category"": ""other"", ""symptom"": ""电源电压波动导致设备重启"", ""action_taken"": ""检修电源模块并记录输出电压"", ""downtime_minutes"": 58}"
req_8ce528f09d804253,mdl_feaed14d2acb47dd,Qwen 2.5 · 兼容接口,SYN-0016,success,730.293,,1.0,False,"{""equipment_id"": ""EQ-103-4"", ""equipment"": ""包装机"", ""production_line"": ""8号产线"", ""reported_at"": ""2025-01-31"", ""fault_code"": null, ""category"": ""mechanical"", ""symptom"": ""气缸密封圈老化出现漏气"", ""action_taken"": ""更换密封圈并进行保压检查"", ""downtime_minutes"": 55}","{""equipment_id"": ""EQ-103-4"", ""equipment"": ""包装机"", ""production_line"": ""8号产线"", ""reported_at"": ""2025-01-31"", ""fault_code"": null, ""category"": ""other"", ""symptom"": ""气缸密封圈老化出现漏气"", ""action_taken"": ""更换密封圈并进行保压检查"", ""downtime_minutes"": 55}"
req_0fd41b3470c14116,mdl_feaed14d2acb47dd,Qwen 2.5 · 兼容接口,SYN-0135,success,834.847,,0.75,True,"{""equipment_id"": ""EQ-403-3"", ""equipment"": ""包装机"", ""production_line"": ""7号产线"", ""reported_at"": ""2025-09-26"", ""fault_code"": null, ""category"": ""other"", ""symptom"": ""来料外包装破损需暂存复核"", ""action_taken"": ""隔离破损包装并登记复核单"", ""downtime_minutes"": 0}","{""equipment_id"": ""EQ-403-3"", ""equipment"": ""包装机"", ""production_line"": ""7号产线"", ""reported_at"": ""2025年9月26日"", ""fault_code"": null, ""category"": ""other"", ""symptom"": ""来料外包装破损需暂存复核"", ""action_taken"": ""隔离破损包装并登记复核单"", ""downtime_minutes"": null}"
req_bf847232a74e43cf,mdl_feaed14d2acb47dd,Qwen 2.5 · 兼容接口,SYN-0095,success,737.076,,0.875,False,"{""equipment_id"": ""EQ-303-3"", ""equipment"": ""包装机"", ""production_line"": ""7号产线"", ""reported_at"": ""2025-07-08"", ""fault_code"": ""E303"", ""category"": ""software"", ""symptom"": ""配方配置缺少必填参数"", ""action_taken"": ""补全配方参数并重新校验配置"", ""downtime_minutes"": 50}","{""equipment_id"": ""EQ-303-3"", ""equipment"": ""包装机"", ""production_line"": ""7号产线"", ""reported_at"": ""2025年7月8日"", ""fault_code"": ""E303"", ""category"": ""mechanical"", ""symptom"": ""配方配置缺少必填参数"", ""action_taken"": ""补全配方参数并重新校验配置"", ""downtime_minutes"": 50}"
req_ee84863ad0c148f9,mdl_feaed14d2acb47dd,Qwen 2.5 · 兼容接口,SYN-0055,success,873.595,,0.625,False,"{""equipment_id"": ""EQ-203-3"", ""equipment"": ""包装机"", ""production_line"": ""7号产线"", ""reported_at"": ""2025-04-19"", ""fault_code"": ""E203"", ""category"": ""electrical"", ""symptom"": ""电源电压波动导致设备重启"", ""action_taken"": null, ""downtime_minutes"": 0}","{""equipment_id"": ""EQ-203-3"", ""equipment"": ""包装机"", ""production_line"": ""7号产线"", ""reported_at"": ""2025年4月19日"", ""fault_code"": ""E203"", ""category"": ""other"", ""symptom"": ""电源电压波动导致设备重启"", ""action_taken"": ""未记录"", ""downtime_minutes"": null}"
req_f22b2f7e823244ef,mdl_feaed14d2acb47dd,Qwen 2.5 · 兼容接口,SYN-0015,success,726.308,,0.75,True,"{""equipment_id"": null, ""equipment"": ""包装机"", ""production_line"": ""7号产线"", ""reported_at"": ""2025-01-29"", ""fault_code"": ""E103"", ""category"": ""mechanical"", ""symptom"": ""气缸密封圈老化出现漏气"", ""action_taken"": ""更换密封圈并进行保压检查"", ""downtime_minutes"": 44}","{""equipment_id"": ""未记录"", ""equipment"": ""包装机"", ""production_line"": ""7号产线"", ""reported_at"": ""2025年1月29日"", ""fault_code"": ""E103"", ""category"": ""mechanical"", ""symptom"": ""气缸密封圈老化出现漏气"", ""action_taken"": ""更换密封圈并进行保压检查"", ""downtime_minutes"": 44}"
req_7d9b9f72a24d47db,mdl_feaed14d2acb47dd,Qwen 2.5 · 兼容接口,SYN-0134,success,575.422,,0.625,True,"{""equipment_id"": null, ""equipment"": ""包装机"", ""production_line"": ""6号产线"", ""reported_at"": ""2025-09-24"", ""fault_code"": null, ""category"": ""other"", ""symptom"": ""来料外包装破损需暂存复核"", ""action_taken"": ""隔离破损包装并登记复核单"", ""downtime_minutes"": 0}","{""equipment_id"": ""无"", ""equipment"": ""包装机"", ""production_line"": ""6号产线"", ""reported_at"": ""2025-09-24"", ""fault_code"": null, ""category"": ""other"", ""symptom"": ""破损包装"", ""action_taken"": ""隔离破损包装并登记复核单"", ""downtime_minutes"": null}"
req_fbacfae1e0fe45e2,mdl_feaed14d2acb47dd,Qwen 2.5 · 兼容接口,SYN-0094,success,784.752,,1.0,False,"{""equipment_id"": ""EQ-303-2"", ""equipment"": ""包装机"", ""production_line"": ""6号产线"", ""reported_at"": ""2025-07-06"", ""fault_code"": ""E303"", ""category"": ""software"", ""symptom"": ""配方配置缺少必填参数"", ""action_taken"": ""补全配方参数并重新校验配置"", ""downtime_minutes"": 39}","{""equipment_id"": ""EQ-303-2"", ""equipment"": ""包装机"", ""production_line"": ""6号产线"", ""reported_at"": ""2025-07-06"", ""fault_code"": ""E303"", ""category"": ""mechanical"", ""symptom"": ""配方配置缺少必填参数"", ""action_taken"": ""补全配方参数并重新校验配置"", ""downtime_minutes"": 39}"
